"Population and dwelling counts: Canada and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-01"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation","Province or territory abbreviation"
"Division No.  5, Subd. C","SNO","N.L.","285","276","3.3","448","404","10.9","130","128","1.6","483.50","0.6","3,556","227"
"Division No.  5, Subd. D","SNO","N.L.","30","34","-11.8","174","230","-24.3","15","12","25.0","1,320.15","0.0","4,592","361"
"Division No.  5, Subd. E","SNO","N.L.","188","216","-13.0","369","297","24.2","101","110","-8.2","1,167.50","0.2","3,895","268"
"Division No.  5, Subd. F","SNO","N.L.","746","823","-9.4","481","687","-30.0","307","330","-7.0","823.72","0.9","2,445","99"
"Division No.  5, Subd. G","SNO","N.L.","414","468","-11.5","424","459","-7.6","204","224","-8.9","3,409.22","0.1","3,128","175"
"Gillams","T","N.L.","506","410","23.4","226","190","18.9","213","166","28.3","6.72","75.3","2,929","157"
"Hampden","T","N.L.","439","429","2.3","217","218","-0.5","196","175","12.0","32.99","13.3","3,081","169"
"Howley","T","N.L.","179","205","-12.7","135","122","10.7","96","108","-11.1","19.91","9.0","3,935","277"
"Hughes Brook","T","N.L.","236","255","-7.5","97","94","3.2","89","91","-2.2","1.56","151.3","3,728","249"
"Humber Arm South","T","N.L.","1,537","1,599","-3.9","748","721","3.7","688","675","1.9","65.14","23.6","1,643","56"
"Irishtown-Summerside","T","N.L.","1,260","1,418","-11.1","583","616","-5.4","532","571","-6.8","11.88","106.0","1,840","65"
"Jackson's Arm","T","N.L.","277","284","-2.5","169","172","-1.7","125","128","-2.3","7.07","39.2","3,592","231"
"Lark Harbour","T","N.L.","508","522","-2.7","290","297","-2.4","221","217","1.8","12.94","39.3","2,920","155"
"Massey Drive","T","N.L.","1,606","1,632","-1.6","670","624","7.4","626","610","2.6","2.45","655.1","1,594","54"
"McIvers","T","N.L.","575","538","6.9","264","236","11.9","240","213","12.7","11.97","48.0","2,768","135"
"Meadows","T","N.L.","404","626","-35.5","198","270","-26.7","178","235","-24.3","3.82","105.7","3,167","182"
"Mount Moriah","T","N.L.","700","746","-6.2","309","308","0.3","285","301","-5.3","15.71","44.6","2,523","106"
"Pasadena","T","N.L.","3,524","3,620","-2.7","1,598","1,582","1.0","1,494","1,480","0.9","49.17","71.7","930","19"
"Reidville","T","N.L.","550","509","8.1","259","219","18.3","232","199","16.6","58.28","9.4","2,812","142"
"Steady Brook","T","N.L.","416","444","-6.3","195","204","-4.4","178","182","-2.2","1.24","335.2","3,123","174"
"York Harbour","T","N.L.","372","344","8.1","244","246","-0.8","162","150","8.0","13.88","26.8","3,272","192"
"Appleton","T","N.L.","620","574","8.0","285","246","15.9","265","239","10.9","6.33","98.0","2,677","121"
"Badger","T","N.L.","682","704","-3.1","357","325","9.8","313","302","3.6","1.89","361.6","2,559","110"
"Bishop's Falls","T","N.L.","3,082","3,156","-2.3","1,540","1,502","2.5","1,422","1,396","1.9","26.38","116.8","1,026","23"
"Botwood","T","N.L.","2,778","2,875","-3.4","1,389","1,302","6.7","1,251","1,229","1.8","14.56","190.8","1,102","27"
"Buchans","T","N.L.","590","642","-8.1","338","417","-18.9","304","331","-8.2","4.63","127.6","2,732","129"
"Division No.  6, Subd. A","SNO","N.L.","101","128","-21.1","401","351","14.2","61","62","-1.6","5,264.73","0.0","4,248","319"
"Division No.  6, Subd. C","SNO","N.L.","354","681","-48.0","752","829","-9.3","172","299","-42.5","4,007.24","0.1","3,334","200"
"Division No.  6, Subd. D 3","SNO","N.L.","596","563","5.9","815","671","21.5","280","253","10.7","4,180.74","0.1","2,722","126"
"Division No.  6, Subd. E","SNO","N.L.","175","194","-9.8","223","631","-64.7","85","89","-4.5","2,294.74","0.1","3,954","281"
"Gander","T","N.L.","11,880","11,688","1.6","5,424","5,167","5.0","5,068","4,887","3.7","104.53","113.7","363","7"
"Glenwood","T","N.L.","739","778","-5.0","361","362","-0.3","327","327","0.0","7.08","104.4","2,462","101"
"Grand Falls-Windsor","T","N.L.","13,853","14,171","-2.2","6,628","6,406","3.5","6,122","6,091","0.5","54.84","252.6","315","6"
"Millertown","T","N.L.","87","81","7.4","49","66","-25.8","40","38","5.3","3.08","28.3","4,317","330"
"Norris Arm","T","N.L.","708","737","-3.9","435","392","11.0","334","348","-4.0","41.35","17.1","2,504","105"
"Northern Arm","T","N.L.","371","426","-12.9","213","218","-2.3","166","186","-10.8","24.94","14.9","3,277","193"
"Peterview","T","N.L.","723","828","-12.7","288","313","-8.0","279","308","-9.4","6.34","114.1","2,482","103"
"Bonavista","T","N.L.","3,190","3,448","-7.5","1,732","1,749","-1.0","1,470","1,520","-3.3","31.56","101.1","1,001","22"
"Centreville-Wareham-Trinity","T","N.L.","1,116","1,147","-2.7","581","561","3.6","499","489","2.0","37.04","30.1","1,981","76"
"Clarenville","T","N.L.","6,704","6,291","6.6","3,123","2,809","11.2","2,804","2,500","12.2","139.91","47.9","601","12"
"Division No.  7, Subd. A","SNO","N.L.","140","143","-2.1","156","180","-13.3","63","56","12.5","287.64","0.5","4,098","301"
"Division No.  7, Subd. B","SNO","N.L.","57","10","470.0","499","483","3.3","35","3","1,066.7","858.94","0.1","4,474","345"
"Division No.  7, Subd. D","SNO","N.L.","259","230","12.6","711","734","-3.1","139","108","28.7","2,457.85","0.1","3,643","237"
"Division No.  7, Subd. E 3","SNO","N.L.","2,573","2,649","-2.9","1,571","1,683","-6.7","1,159","1,149","0.9","1,631.51","1.6","1,167","30"
"Division No.  7, Subd. F","SNO","N.L.","831","846","-1.8","737","674","9.3","407","396","2.8","296.95","2.8","2,330","92"
"Division No.  7, Subd. G","SNO","N.L.","316","343","-7.9","321","294","9.2","167","162","3.1","144.35","2.2","3,455","213"
"Division No.  7, Subd. I","SNO","N.L.","80","71","12.7","59","48","22.9","42","40","5.0","170.80","0.5","4,355","336"
"Division No.  7, Subd. J","SNO","N.L.","577","459","25.7","555","440","26.1","288","218","32.1","272.61","2.1","2,762","134"
"Division No.  7, Subd. K","SNO","N.L.","1,153","1,275","-9.6","679","707","-4.0","510","532","-4.1","484.96","2.4","1,942","72"
"Division No.  7, Subd. L","SNO","N.L.","1,183","1,232","-4.0","736","728","1.1","525","528","-0.6","242.89","4.9","1,916","70"
"Division No.  7, Subd. M","SNO","N.L.","1,856","1,966","-5.6","1,094","1,183","-7.5","871","889","-2.0","450.25","4.1","1,440","43"
"Division No.  7, Subd. N","SNO","N.L.","55","49","12.2","186","166","12.0","33","24","37.5","1,402.03","0.0","4,482","346"
"Dover","T","N.L.","579","662","-12.5","264","287","-8.0","242","265","-8.7","11.12","52.1","2,752","132"
"Duntara","T","N.L.","36","30","20.0","47","42","11.9","18","16","12.5","17.64","2.0","4,574","358"
"Eastport","T","N.L.","527","501","5.2","364","334","9.0","264","238","10.9","18.48","28.5","2,878","152"
"Elliston","T","N.L.","315","308","2.3","198","201","-1.5","148","142","4.2","10.07","31.3","3,458","214"
"Gambo","T","N.L.","1,816","1,978","-8.2","967","967","0.0","807","796","1.4","93.03","19.5","1,464","45"
"Glovertown","T","N.L.","1,948","2,083","-6.5","972","948","2.5","822","840","-2.1","69.85","27.9","1,408","42"
"Greenspond","T","N.L.","257","266","-3.4","177","176","0.6","116","111","4.5","2.75","93.3","3,649","238"
"Happy Adventure","T","N.L.","118","200","-41.0","113","149","-24.2","59","92","-35.9","9.62","12.3","4,181","309"
"Hare Bay","T","N.L.","925","969","-4.5","453","460","-1.5","387","401","-3.5","34.11","27.1","2,213","86"
"Indian Bay","T","N.L.","172","175","-1.7","118","113","4.4","68","73","-6.8","86.49","2.0","3,968","284"
"Keels","T","N.L.","46","51","-9.8","50","53","-5.7","25","27","-7.4","6.67","6.9","4,527","354"
"King's Cove","T","N.L.","75","90","-16.7","85","81","4.9","45","47","-4.3","21.44","3.5","4,375","338"
"Musgravetown","T","N.L.","561","564","-0.5","301","285","5.6","246","230","7.0","13.49","41.6","2,793","139"
"New-Wes-Valley","T","N.L.","2,044","2,172","-5.9","1,089","1,157","-5.9","903","912","-1.0","132.70","15.4","1,367","40"
"Port Blandford 3","T","N.L.","513","488","5.1","398","317","25.6","258","226","14.2","51.00","10.1","2,902","153"
"Port Rexton","T","N.L.","361","340","6.2","244","250","-2.4","169","157","7.6","11.64","31.0","3,314","197"
